customer_id,age,email,salary,country,phone,signup_date
C01439,,user1439@example.com,121198.0,UK,,2023-04-25 00:00:00
C02241,22.0,user2241@example.com,149873.0,Australia,470.448.9215,2023-02-29
C03014,45.0,user3014@example.com,75156.0,Brazil,9059268380,2023-08-20 00:00:00
C03907,75.0,user3907@example.com,161301.0,USA,342-234-2896,2023-10-06 00:00:00
C02854,25.0,user3519@example.com,110691.0,USA,202.190.9252,2023-04-03 00:00:00
C00643,63.0,user643@example.com,59084.0,UK,113-275-8817,2023-02-16 00:00:00
C01927,34.0,user1927@example.com,76250.0,Australia,-3133,2023-02-15 00:00:00
C02188,300.0,user2188@example.com,41350.0,Australia,957.797.4130,2023-06-03 00:00:00
C00684,,user684@example.com,120009.0,USA,448.903.6820,2023-07-02 00:00:00
C00677,21.0,user677@example.com,108513.0,UK,912-525-9089,2023-09-01 00:00:00
C01895,-25.0,user1895@example.com,158180.0,Canada,(412) 859-4453,2023-09-04 00:00:00
C01877,,user@@domain.com,89222.0,UK,298.451.8152,2023-10-06 00:00:00
C01058,71.0,user1058@example.com,115679.0,Canada,287.552.1099,2023-08-05 00:00:00
C04850,62.0,user4850@example.com,197973.0,Canada,230-653-5849,2023-01-29 00:00:00
C00822,78.0,user3951@example.com,199176.0,USA,341.666.3357,2023-12-03 00:00:00
C02836,999.0,user2836@example.com,156457.0,Brazil,1642037497,2023-10-14 00:00:00
C03140,19.0,user3140@example.com,,Australia,502.387.8610,2023-02-16 00:00:00
C00297,70.0,user297@example.com,123783.0,Canada,164-481-6656,2023-07-09 00:00:00
C03363,69.0,user3363@example.com,132127.0,USA,651.873.8478,2023-12-30 00:00:00
C03605,30.0,user3605@example.com,41182.0,Canada,354 628 4176,2023-08-12 00:00:00
C04700,59.0,user4700@example.com,168919.0,Australia,8700802495,2023-10-27 00:00:00
C04206,33.0,user4206@example.com,136553.0,UK,798 985 5488,2023-09-16 00:00:00
C02381,76.0,user2381@example.com,143978.0,UK,(384) 723-2959,2023-06-09 00:00:00
C00834,64.0,user1256@example.com,171407.0,Canada,274-425-7382,2023-01-23 00:00:00
C00169,57.0,user169@example.com,181165.0,USA,808 783 6298,2023-03-23 00:00:00
C04134,22.0,user4134@example.com,92532.0,UK,(830) 220-5237,2023-04-27 00:00:00
C00030,200.0,user30@example.com,88608.0,UK,(637) 409-3867,2023-05-22 00:00:00
C01748,19.0,user1748@example.com,143710.0,USA,9446789654,2023-08-27 00:00:00
C04984,56.0,user4984@example.com,117421.0,UK,291.572.2037,2023-08-14 00:00:00
C04980,200.0,user4980@example.com,141904.0,USA,(779) 617-3569,2023-04-01 00:00:00
C02112,0.0,.user@domain.com,,UK,-4351,2023-11-05 00:00:00
,43.0,no-dot@com,173250.0,Australia,,2023-09-16 00:00:00
C02811,35.0,user2811@example.com,58899.0,USA,424 579 5025,2023-04-28 00:00:00
C02102,30.0,user2102@example.com,115959.0,UK,535-816-2269,2023-10-20 00:00:00
C00512,51.0,user1011@example.com,36859.0,UK,(179) 787-1183,2023-04-31
C04631,50.0,user4631@example.com,38314.0,UK,670-387-6215,2023-10-06 00:00:00
C00545,40.0,user545@example.com,94887.0,Canada,689.184.2815,2023-11-28 00:00:00
C01742,78.0,user1742@example.com,,UK,703 527 5526,2023-09-09 00:00:00
C03732,55.0,user3732@example.com,58481.0,USA,(115) 675-8895,2023-06-19 00:00:00
C04817,65.0,user4817@example.com,181007.0,USA,7783667060,2023-04-27 00:00:00
C01718,31.0,user1718@example.com,100442.0,UK,,2023-02-30
C00995,71.0,user995@example.com,47374.0,Australia,521 880 2986,2023-04-22 00:00:00
C04789,36.0,user4789@example.com,166213.0,Australia,408.972.9496,2023-12-07 00:00:00
C02776,0.0,user2776@example.com,59670.0,USA,2003570520,2023-03-18 00:00:00
C04060,27.0,,117908.0,UK,573-829-4755,2023-07-16 00:00:00
C00024,41.0,user24@example.com,198785.0,USA,(684) 720-7382,2023-08-19 00:00:00
C00950,75.0,user950@example.com,,Australia,333 332 4438,2023-01-10 00:00:00
C00241,44.0,user241@example.com,61433.0,Canada,280 263 1706,2023-09-03 00:00:00
C01555,46.0,user1555@example.com,90652.0,USA,,2023-06-24 00:00:00
C01435,42.0,user1435@example.com,184455.0,Australia,-8576,2023-09-26 00:00:00
C01671,68.0,user1671@example.com,126143.0,Canada,3265977202,2023-06-16 00:00:00
C00486,50.0,user486@example.com,96216.0,Australia,537 314 6690,2023-01-14 00:00:00
C02754,-50.0,user2754@example.com,174740.0,Australia,(230) 630-1584,2023-04-31
C03652,47.0,user3652@example.com,59777.0,Australia,897.524.2835,2023-03-18 00:00:00
C04272,42.0,user4272@example.com,182647.0,Canada,968.335.6006,2023-02-13 00:00:00
C00804,76.0,user804@example.com,,Australia,,2023-05-05 00:00:00
C03781,47.0,user3781@example.com,41814.0,Australia,5128485075,2023-05-06 00:00:00
C01740,36.0,user1740@example.com,,Canada,997 639 3866,2023-04-15 00:00:00
C04016,69.0,user4016@example.com,90624.0,Canada,8932259541,2023-06-23 00:00:00
C02196,,user2196@example.com,113384.0,Australia,890.757.9569,2023-03-28 00:00:00
C00085,53.0,.user@domain.com,97055.0,Canada,606.760.2007,2023-02-30
C02124,75.0,user2124@example.com,,UK,458-751-4703,2023-10-31 00:00:00
C03017,,user3017@example.com,147925.0,,245.369.8486,2023-03-08 00:00:00
C02534,37.0,user2534@example.com,111441.0,Canada,,2023-06-28 00:00:00
C01872,64.0,user1872@example.com,71347.0,Australia,9667651430,2023-02-10 00:00:00
C00107,32.0,user107@example.com,87505.0,USA,(186) 240-7813,2023-05-14 00:00:00
C03151,75.0,user3151@example.com,33089.0,Australia,-6875,2023-08-10 00:00:00
C00100,66.0,user2990@example.com,0.0,USA,-5010,2023-09-09 00:00:00
C01579,64.0,user1579@example.com,,USA,-3105,2023-06-01 00:00:00
C00200,21.0,user200@example.com,79429.0,Australia,498 164 9856,2023-08-03 00:00:00
C04412,,user4412@example.com,166260.0,Brazil,(801) 287-2125,2023-07-13 00:00:00
C03066,28.0,user3066@example.com,,USA,223.312.4042,2023-04-10 00:00:00
C04956,51.0,user4956@example.com,,UK,,2023-03-24 00:00:00
C04241,56.0,user4241@example.com,169805.0,Australia,250-847-2817,2023-08-30 00:00:00
C04657,0.0,user4657@example.com,33771.0,UK,3981256048,2023-12-23 00:00:00
C03131,61.0,user3131@example.com,113521.0,Canada,560 720 4681,2023-10-19 00:00:00
C02182,300.0,user2182@example.com,57241.0,USA,-3667,2023-09-14 00:00:00
C03415,34.0,user3415@example.com,,UK,-4326,2023-09-20 00:00:00
C00882,79.0,user882@example.com,91510.0,Canada,,2023-01-21 00:00:00
C04223,20.0,user4223@example.com,101805.0,Mexico,(976) 291-2940,2023-06-05 00:00:00
C04570,-50.0,user4570@example.com,45385.0,USA,(186) 684-9390,2023-12-26 00:00:00
,48.0,user@,0.0,UK,159 432 9297,2023-06-31
C00554,75.0,.user@domain.com,41442.0,Australia,573-303-5289,2023-05-03 00:00:00
C00734,62.0,user734@example.com,,USA,4167591308,2023-09-14 00:00:00
C00180,22.0,user180@example.com,58151.0,Spain,119 609 3438,2023-08-06 00:00:00
C00417,50.0,user@@domain.com,68578.0,USA,488.534.4510,2023-04-07 00:00:00
C00080,25.0,user80@example.com,183077.0,USA,3090061251,2023-09-18 00:00:00
C00473,46.0,user473@example.com,0.0,Canada,-6525,2023-04-14 00:00:00
C00157,75.0,user671@example.com,60981.0,Canada,(400) 840-7395,2023-02-08 00:00:00
C04909,,user4909@example.com,197558.0,Mexico,655.185.3322,2023-12-10 00:00:00
C01502,200.0,user1502@example.com,181638.0,Australia,172-283-8548,2023-03-09 00:00:00
C02803,18.0,user2803@example.com,98689.0,USA,-7249,2023-01-26 00:00:00
C02093,60.0,user2093@example.com,109526.0,UK,-6606,2023-10-03 00:00:00
C00249,23.0,user249@example.com,107227.0,UK,303 865 6336,2023-11-03 00:00:00
C00539,-10.0,user539@example.com,86408.0,UK,(815) 367-9295,2023-03-18 00:00:00
C01346,54.0,,-1000.0,Canada,(744) 860-2971,2023-05-30 00:00:00
C04699,-25.0,no-dot@com,162385.0,Australia,-8034,2023-07-02 00:00:00
,51.0,user1271@example.com,191206.0,Canada,516.889.6123,2023-01-11 00:00:00
C00229,47.0,user229@example.com,35939.0,USA,1544998804,2023-04-04 00:00:00
C00298,61.0,user298@example.com,155681.0,USA,597 613 9629,2023-12-31 00:00:00
C02821,42.0,user2821@example.com,101792.0,UK,446 820 3870,2023-02-22 00:00:00
C03723,43.0,user3723@example.com,191183.0,Australia,947.103.6647,2023-12-15 00:00:00
C01184,73.0,user1184@example.com,53559.0,Australia,500 173 9648,2023-11-02 00:00:00
C02060,37.0,user2060@example.com,94427.0,Australia,(470) 648-4251,2023-07-18 00:00:00
C00191,70.0,user466@example.com,163872.0,Germany,538-453-6855,2023-01-07 00:00:00
C02992,999.0,user2992@example.com,177147.0,Canada,6520672499,2023-05-09 00:00:00
C00506,19.0,user506@example.com,80719.0,UK,(379) 239-1477,2023-08-09 00:00:00
C04081,23.0,user4081@example.com,98178.0,Canada,702 597 8657,2023-04-31
C03173,20.0,user3173@example.com,121828.0,Australia,967-171-5544,2023-13-01
C02094,77.0,user2094@example.com,177698.0,Canada,885-605-5129,2023-04-10 00:00:00
C01670,180.0,user1670@example.com,165899.0,Australia,982.251.7771,2023-07-17 00:00:00
C01753,28.0,user1753@example.com,65739.0,UK,600-413-1083,2023-08-05 00:00:00
C04785,34.0,user4785@example.com,67792.0,UK,(261) 206-1130,2023-12-10 00:00:00
C00350,31.0,user2654@example.com,85192.0,UK,,2023-10-17 00:00:00
C00427,50.0,user427@example.com,183484.0,UK,2578148768,2023-02-21 00:00:00
C01259,64.0,missingatsign.com,75541.0,Canada,706 230 5244,2023-04-09 00:00:00
C01074,40.0,user1074@example.com,199509.0,USA,877-407-9801,2023-02-18 00:00:00
C02907,25.0,user2907@example.com,126426.0,Australia,(707) 288-4555,2023-08-20 00:00:00
C03892,33.0,,44016.0,UK,266 240 6421,2023-12-04 00:00:00
,48.0,user4872@example.com,194244.0,UK,(202) 233-2385,2023-09-04 00:00:00
C00658,999.0,user658@example.com,114381.0,UK,441-108-2682,2023-12-30 00:00:00
C00394,55.0,user394@example.com,175342.0,UK,(826) 411-1471,2023-01-19 00:00:00
C03394,32.0,user3394@example.com,,USA,623 225 8884,2023-10-21 00:00:00
C00280,66.0,user280@example.com,189073.0,UK,2741009563,2023-01-01 00:00:00
C03719,27.0,user3719@example.com,181877.0,Australia,(867) 321-6070,2023-03-04 00:00:00
C04580,60.0,.user@domain.com,72719.0,Canada,190-402-3406,2023-01-24 00:00:00
,54.0,user1076@example.com,105403.0,Australia,489.574.6011,2023-06-27 00:00:00
C01136,28.0,user1136@example.com,109768.0,UK,748-468-1749,2023-09-31
C01589,52.0,user1589@example.com,179888.0,Canada,732-824-9907,2023-10-25 00:00:00
C00578,47.0,user578@example.com,56049.0,Canada,504.787.7076,2023-10-14 00:00:00
C02292,47.0,user2292@example.com,,Canada,613.787.1749,2023-02-04 00:00:00
C01053,0.0,missingatsign.com,,UK,-7159,2023-08-30 00:00:00
C01091,32.0,user1091@example.com,109818.0,Australia,9711293507,2023-05-07 00:00:00
C03412,62.0,user3412@example.com,156537.0,USA,,2023-12-06 00:00:00
C01428,68.0,user1428@example.com,95727.0,Australia,430-230-3979,2023-12-08 00:00:00
C01050,45.0,user1050@example.com,,USA,9357475916,2023-06-17 00:00:00
C04457,50.0,user4457@example.com,165864.0,Canada,-7609,2023-03-22 00:00:00
C02519,23.0,user@domain..com,115473.0,UK,129.581.1560,2023-02-09 00:00:00
C03163,47.0,user3163@example.com,143204.0,Mexico,-5870,2023-11-13 00:00:00
C00009,56.0,missingatsign.com,173217.0,Canada,755-306-5614,2023-06-08 00:00:00
C03858,52.0,user3858@example.com,171439.0,USA,3075769888,2023-02-20 00:00:00
C03516,47.0,,85501.0,Brazil,587-805-5539,2023-09-09 00:00:00
C04070,72.0,,186323.0,USA,-4804,2023-03-29 00:00:00
C00145,52.0,user145@example.com,49611.0,Canada,(488) 799-7390,2023-10-01 00:00:00
C01955,58.0,user1955@example.com,151585.0,UK,-9254,2023-01-18 00:00:00
C00562,60.0,user562@example.com,-20000.0,Canada,(982) 932-5361,2023-05-12 00:00:00
C03104,50.0,user3104@example.com,,USA,585 134 5569,2023-07-10 00:00:00
C03787,69.0,user3787@example.com,100601.0,USA,647 210 3322,2023-05-04 00:00:00
C04765,28.0,user4765@example.com,144897.0,Australia,(476) 458-2804,2023-05-21 00:00:00
C00152,75.0,user@@domain.com,158681.0,UK,376.373.2610,2023-08-10 00:00:00
C00423,25.0,missingatsign.com,,USA,390 567 6111,2023-07-03 00:00:00
C01019,45.0,user@.com,,Spain,344.304.2497,2023-01-03 00:00:00
C01060,37.0,user2707@example.com,38802.0,Australia,(937) 602-4085,not-a-date
C03376,24.0,user3376@example.com,63757.0,Canada,613-989-6016,2023-02-30
C01213,150.0,user1213@example.com,108768.0,Australia,(515) 932-1323,2023-01-25 00:00:00
C03045,50.0,user3045@example.com,87196.0,USA,(440) 467-8644,invalid-date
C00799,22.0,user799@example.com,193900.0,UK,-6187,2023-11-12 00:00:00
C03164,74.0,user3164@example.com,183956.0,UK,-3568,2023-10-21 00:00:00
C02715,45.0,,140195.0,Australia,741.536.7623,2023-06-29 00:00:00
C00415,50.0,user415@example.com,115076.0,USA,814.703.4033,2023-12-20 00:00:00
C02303,34.0,user2303@example.com,189629.0,UK,255 573 9175,2023-05-12 00:00:00
C04762,30.0,user4762@example.com,132802.0,UK,-5949,2023-06-31
C03592,29.0,user3998@example.com,111494.0,USA,217-720-2462,2023-02-01 00:00:00
C00625,39.0,user625@example.com,0.0,UK,579.547.2297,2023-08-06 00:00:00
C01616,66.0,user1616@example.com,170347.0,UK,380.593.4264,2023-10-03 00:00:00
C00765,30.0,user name@domain.com,131948.0,UK,338 504 6554,2023-10-25 00:00:00
C02681,52.0,user2681@example.com,132272.0,Germany,(967) 451-3998,2023-11-12 00:00:00
C04264,79.0,user4264@example.com,70736.0,Australia,586-462-1206,2023-08-16 00:00:00
C03533,0.0,,96917.0,China,2854663638,2023-04-29 00:00:00
C00812,62.0,user812@example.com,53408.0,Canada,9355465756,2023-01-15 00:00:00
C00101,-999.0,multiple@issues@invalid,-1.0,InvalidCountry,,invalid-date
C02824,50.0,user@,-10000.0,Australia,-4844,2023-07-24 00:00:00
C00654,53.0,user@,129575.0,Canada,270-256-8295,2023-03-11 00:00:00
C00860,62.0,user860@example.com,38328.0,Germany,162-134-7183,2023-01-10 00:00:00
C01613,70.0,user1613@example.com,32462.0,UK,(321) 987-6978,2023-05-21 00:00:00
C00764,72.0,user764@example.com,58927.0,USA,-9228,2023-02-13 00:00:00
C00334,20.0,user334@example.com,130755.0,USA,1172146239,2023-05-30 00:00:00
C01630,37.0,user1630@example.com,118209.0,UK,507.130.2878,2023-01-30 00:00:00
C04937,52.0,user4937@example.com,,UK,7547322886,2023-06-09 00:00:00
C04702,75.0,user4702@example.com,33285.0,USA,597-785-6165,2023-10-08 00:00:00
C00228,37.0,,154932.0,Australia,810 926 8798,2023-01-08 00:00:00
C01946,23.0,user1946@example.com,150544.0,Canada,(477) 145-5765,2023-07-18 00:00:00
C01352,20.0,user1352@example.com,87021.0,Mexico,(296) 528-5137,2023-08-14 00:00:00
C04343,65.0,user4343@example.com,,Canada,-2146,2023-04-26 00:00:00
C02697,31.0,,52504.0,Canada,-9476,2023-08-05 00:00:00
C00766,40.0,user766@example.com,0.0,Australia,-9190,2023-12-21 00:00:00
C01399,26.0,user1974@example.com,174282.0,USA,,2023-01-03 00:00:00
C04078,59.0,user4078@example.com,,USA,524 535 2641,2023-05-25 00:00:00
C04589,66.0,user4589@example.com,0.0,Canada,,2023-05-13 00:00:00
C04268,31.0,user4268@example.com,165958.0,USA,831.750.4184,2023-07-30 00:00:00
C03995,78.0,user3995@example.com,127352.0,USA,1651921884,2023-03-09 00:00:00
C03317,46.0,user3317@example.com,108840.0,USA,236-398-7009,2023-07-07 00:00:00
C03296,38.0,user3296@example.com,193499.0,Australia,610.841.7630,2023-10-04 00:00:00
C02764,79.0,user2764@example.com,0.0,USA,573.305.1924,2023-06-31
C03537,53.0,user3537@example.com,53956.0,Australia,2805418091,2023-05-30 00:00:00
C01232,54.0,user1232@example.com,-5000.0,UK,(137) 292-3321,2023-03-01 00:00:00
C03629,38.0,user@domain.,38720.0,Australia,-6743,2023-03-09 00:00:00
C03214,38.0,,163639.0,Australia,-5777,2023-09-07 00:00:00
C02623,53.0,user@domain..com,,USA,977 191 6468,2023-06-01 00:00:00
C04199,47.0,user4199@example.com,191409.0,India,3781500263,2023-12-16 00:00:00
C00374,76.0,user374@example.com,72998.0,UK,267.154.5467,2023-09-25 00:00:00
C03162,79.0,,119242.0,Germany,7735322123,2023-06-24 00:00:00
C04879,39.0,user4879@example.com,39491.0,Australia,-3409,2023-06-04 00:00:00
C04727,21.0,user4727@example.com,160503.0,Australia,-9262,2023-02-06 00:00:00
C02789,25.0,user2789@example.com,119813.0,Canada,5384891565,2023-01-01 00:00:00
C00034,39.0,user34@example.com,56917.0,Australia,(294) 448-8921,2023-10-28 00:00:00
,,user4097@example.com,162654.0,UK,(321) 596-5696,2023-07-29 00:00:00
C02313,76.0,user2313@example.com,135924.0,UK,883 123 5651,2023-08-25 00:00:00
C02408,44.0,,,Canada,619.594.9424,2023-07-13 00:00:00
C00927,31.0,@domain.com,64872.0,Canada,,2023-03-09 00:00:00
C02139,78.0,user2139@example.com,194439.0,Canada,179.153.3244,2023-11-30 00:00:00
C01774,41.0,user1774@example.com,116700.0,Canada,520 572 1453,2023-09-13 00:00:00
C02700,46.0,user2700@example.com,146944.0,Canada,457-799-3955,2023-09-02 00:00:00
C01552,26.0,user1552@example.com,100204.0,UK,933.472.1265,2023-01-29 00:00:00
C01306,23.0,user@domain..com,62954.0,UK,(504) 531-6426,2023-05-06 00:00:00
C02073,79.0,user2073@example.com,80733.0,Australia,8441627106,2023-06-07 00:00:00
C02727,73.0,invalid-email,136337.0,Australia,4647375561,2023-11-02 00:00:00
C02423,32.0,user2423@example.com,,Canada,(972) 261-3574,2023-09-12 00:00:00
,61.0,user3665@example.com,168439.0,Mexico,958.127.3282,2023-08-20 00:00:00
C02816,57.0,user2816@example.com,165639.0,Canada,108-982-1864,2023-06-31
C04689,60.0,.user@domain.com,133579.0,India,(829) 620-1276,2023-02-23 00:00:00
C00811,56.0,user811@example.com,191888.0,Canada,,2023-07-14 00:00:00
C01363,30.0,user1363@example.com,32985.0,Australia,721 378 4390,2023-02-23 00:00:00
C00231,28.0,user231@example.com,65063.0,USA,521 344 3859,2023-07-03 00:00:00
C03428,69.0,,121555.0,China,-4069,2023-05-26 00:00:00
C04213,0.0,,,UK,-9194,2023-08-06 00:00:00
C02471,34.0,user2471@example.com,115216.0,UK,(763) 689-6567,2023-08-13 00:00:00
C00247,71.0,,196132.0,USA,(119) 742-9457,2023-01-19 00:00:00
C03324,48.0,user name@domain.com,188901.0,Canada,-3767,2023-08-21 00:00:00
C00997,35.0,user997@example.com,75913.0,Canada,-8122,2023-02-26 00:00:00
C00777,300.0,,43652.0,Australia,448-547-3957,2023-01-13 00:00:00
C04248,68.0,user4248@example.com,111171.0,UK,230.226.4810,2023-11-17 00:00:00
C04167,,user4167@example.com,123144.0,Australia,(468) 385-5949,2023-09-14 00:00:00
C02092,54.0,@domain.com,157251.0,Australia,(512) 731-8758,2023-05-24 00:00:00
C01294,-10.0,user1294@example.com,95982.0,China,458-839-4050,2023-03-31 00:00:00
C03047,67.0,missingatsign.com,130625.0,USA,451-618-3376,2023-12-07 00:00:00
C04920,77.0,user4920@example.com,57197.0,UK,779.365.9427,2023-01-15 00:00:00
C04958,77.0,user4958@example.com,159263.0,Canada,519 121 3754,2023-07-30 00:00:00
C03708,-100.0,user3708@example.com,95185.0,Australia,,2023-11-18 00:00:00
C00712,19.0,user712@example.com,116346.0,UK,529.511.5986,2023-01-16 00:00:00
C00498,67.0,,30174.0,USA,520 426 2055,2023-05-28 00:00:00
C01832,57.0,user1832@example.com,134428.0,Canada,881 483 1482,2023-12-15 00:00:00
C04714,26.0,user4714@example.com,182297.0,USA,3833339397,2023-01-01 00:00:00
C02221,36.0,user2221@example.com,38947.0,USA,691.510.1467,2023-04-29 00:00:00
C03397,40.0,user3397@example.com,161949.0,Canada,280.497.4101,2023-09-26 00:00:00
C00590,36.0,user590@example.com,52931.0,USA,293-252-1894,2023-09-27 00:00:00
,43.0,user1527@example.com,184648.0,Canada,927-470-8046,2023-12-27 00:00:00
C04166,41.0,user4166@example.com,132511.0,UK,510-440-1359,2023-07-14 00:00:00
C02111,46.0,user2111@example.com,174403.0,USA,-8246,2023-11-31
C04334,63.0,,106407.0,Germany,-4779,2023-05-19 00:00:00
C04630,77.0,no-dot@com,109553.0,UK,847.662.8317,2023-12-02 00:00:00
C04613,300.0,user4613@example.com,130814.0,Canada,905.480.7247,2023-08-01 00:00:00
C02652,0.0,user2652@example.com,101894.0,Spain,,2023-01-01 00:00:00
C01109,21.0,user1109@example.com,157314.0,UK,(598) 286-9234,2023-02-08 00:00:00
C00150,59.0,user150@example.com,-10000.0,Canada,644-752-6797,2023-02-30
C04567,19.0,user4567@example.com,131164.0,UK,670 477 7843,2023-08-31 00:00:00
C04874,33.0,user4874@example.com,117236.0,UK,625 142 4861,2023-04-27 00:00:00
C00695,77.0,,38446.0,UK,836 705 9964,2023-12-23 00:00:00
C00013,28.0,user13@example.com,137507.0,USA,505.841.1477,2023-01-25 00:00:00
C03572,26.0,user3572@example.com,63461.0,Australia,2595749987,2023-04-11 00:00:00
C03270,27.0,user3270@example.com,,Australia,559-513-6472,2023-02-09 00:00:00
C01515,79.0,user@@domain.com,0.0,Canada,(497) 995-8573,2023-01-01 00:00:00
C01785,68.0,user@domain.,133754.0,Canada,-7827,2023-04-01 00:00:00
C03711,36.0,no-dot@com,82709.0,Australia,683.733.4185,2023-04-25 00:00:00
C00732,70.0,user732@example.com,112409.0,UK,-6698,2023-03-04 00:00:00
C00752,150.0,user752@example.com,199578.0,Australia,412.483.5968,2023-05-24 00:00:00
C04941,77.0,user4941@example.com,115914.0,UK,866 418 2945,2023-07-12 00:00:00
C01322,19.0,user1322@example.com,118059.0,Australia,817.353.8031,2023-07-31 00:00:00
C03993,65.0,user3993@example.com,181341.0,Canada,723-217-3378,2023-05-19 00:00:00
C01860,28.0,user1860@example.com,94140.0,Australia,(442) 883-1973,2023-07-19 00:00:00
,300.0,user3560@example.com,85390.0,Australia,(243) 922-4612,2023-11-16 00:00:00
C02888,66.0,user2888@example.com,151684.0,UK,452 850 1989,2023-11-29 00:00:00
C01127,65.0,user1127@example.com,146026.0,Australia,7006388717,2023-04-23 00:00:00
C04448,55.0,user4448@example.com,111932.0,USA,261-980-7843,2023-06-21 00:00:00
C02128,22.0,no-dot@com,60771.0,Mexico,-6569,2023-09-05 00:00:00
C04930,63.0,user4930@example.com,111187.0,USA,7019239448,2023-01-17 00:00:00
C01211,31.0,user1211@example.com,,USA,685.228.2629,2023-06-10 00:00:00
C02226,76.0,user2226@example.com,41618.0,USA,416-911-3317,2023-01-25 00:00:00
C01416,34.0,user1887@example.com,105910.0,Australia,656.310.9108,2023-09-24 00:00:00
C02043,46.0,user2043@example.com,99590.0,USA,,2023-10-05 00:00:00
C00587,-50.0,user587@example.com,105277.0,Canada,-4668,2023-11-07 00:00:00
C04644,64.0,user4644@example.com,108218.0,Australia,(299) 579-1055,2023-03-28 00:00:00
C02826,36.0,user2826@example.com,106981.0,USA,9518221601,2023-11-17 00:00:00
C04184,-5.0,,0.0,China,-8762,2023-11-18 00:00:00
C02340,63.0,user2340@example.com,181542.0,,311-691-8555,2023-07-02 00:00:00
C00133,-25.0,user133@example.com,169088.0,Australia,978.363.1232,2023-05-31 00:00:00
C01182,39.0,user1182@example.com,148570.0,Australia,661-501-6528,2023-05-05 00:00:00
C01741,65.0,user1741@example.com,142752.0,USA,795.457.6426,2023-09-30 00:00:00
C00978,23.0,user978@example.com,193244.0,Australia,(417) 542-8778,2023-04-11 00:00:00
C00283,33.0,user678@example.com,180946.0,Australia,340.314.1770,2023-11-05 00:00:00
C04379,63.0,user@domain..com,110664.0,Germany,(615) 266-6375,2023-04-11 00:00:00
C04708,52.0,user4708@example.com,51323.0,UK,,2023-11-08 00:00:00
C01118,22.0,user1118@example.com,69850.0,Australia,4266466941,2023-03-13 00:00:00
C00288,71.0,user288@example.com,179865.0,USA,492-474-8624,2023-09-31
C01414,43.0,user@@domain.com,119037.0,UK,388-465-2249,2023-01-19 00:00:00
C03136,23.0,,162371.0,Australia,891 176 8090,2023-04-29 00:00:00
C03686,30.0,user3686@example.com,35470.0,Canada,685 211 8952,2023-04-01 00:00:00
C04193,65.0,user4193@example.com,129864.0,Mexico,5486043678,2023-10-25 00:00:00
C01324,28.0,user1324@example.com,139388.0,Canada,3624656441,2023-09-01 00:00:00
C04731,66.0,user4731@example.com,194832.0,USA,(175) 268-7985,2023-09-26 00:00:00
C03866,63.0,user3866@example.com,62991.0,USA,724-428-8991,2023-03-27 00:00:00
C01944,71.0,user1944@example.com,169707.0,Australia,517.767.7139,2023-11-09 00:00:00
C04294,26.0,,175457.0,Australia,,2023-04-23 00:00:00
C04215,23.0,user4215@example.com,175693.0,UK,(900) 618-1473,2023-07-14 00:00:00
C00843,44.0,user843@example.com,192026.0,UK,542.964.7666,2023-06-21 00:00:00
